Port,Reason,Visitor
NMIA,SPORT,273824
NMIA,FRIENDS-RELATIVES,158850
NMIA,VACATION,136019
NMIA,BUSINESS,49895
NMIA,FUNERAL,29387
NMIA,OTHER,17824
NMIA,NOT SPECIFIED,15865
NMIA,WEDDING,8379
NMIA,CONFERENCE,5536
NMIA,MISSIONARY,2724
NMIA,BUSINESS-VACATION,635
NMIA,HONEYMOON,195
NMIA,CRUISE,25
SIA,VACATION,1310311
SIA,WEDDING,145448
SIA,FRIENDS-RELATIVES,134843
SIA,BUSINESS,38503
SIA,FUNERAL,22240
SIA,NOT SPECIFIED,14383
SIA,OTHER,12240
SIA,MISSIONARY,5605
SIA,CONFERENCE,4518
SIA,HONEYMOON,3950
SIA,BUSINESS-VACATION,1752
SIA,CRUISE,1485
SIA,SPORT,655
