country,visitors,CODE
UNITED STATES OF AMERICA,234342,USA
CANADA,406963,CAN
UNITED KINGDOM,214298,GBR
VAC,136019,VAC
CAYMAN ISLANDS,22272,CYM
TRINIDAD & TOBAGO,13679,TTO
ITALY,9952,ITA
SWEDEN,9154,SWE
BAHAMAS,7036,BHS
HOLLAND,6890,NLD
FRANCE,6014,FRA
CHILE,5528,CHL
BELGIUM,5431,BEL
BARBADOS,5115,BRB
GERMANY,5043,DEU
MEXICO,4909,MEX
CHINA,4537,TWN
TURKS & CAICOS ISLANDS,4038,TCA
AUSTRALIA,3864,AUS
SWITZERLAND,3789,CHE
BRAZIL,3787,BRA
ARGENTINA,3641,ARG
JAPAN,2998,JPN
SPAIN,2969,ESP
GUYANA,2967,GUY
BERMUDA,2956,BMU
COLOMBIA,2838,COL
ANTIGUA,2569,ATG
FINLAND,2532,FIN
PANAMA,2467,PAN
AUSTRIA,2373,AUT
DOMINICAN REPUBLIC,2318,DOM
DENMARK,2111,DNK
CUBA,2029,CUB
INDIA,2017,IND
ST. MAARTEN,1808,SXM
PERU,1739,PER
OTHER EUROPE,1731,FRA
NORWAY,1687,NOR
ECUADOR,1686,ECU
AFRICA,1665,ZAF
BRITISH VIRGIN ISLANDS,1641,VGB
COSTA RICA,1482,CRI
ST. KITTS/NEVIS/ANGUILLA,1455,KNA
POLAND,1413,POL
CZECHOSLOVAKIA,1368,CZE
RUSSIA,1107,RUS
VENEZUELA,1076,VEN
ISREAL,1053,ISR
CURACAO,983,CUW
ST. LUCIA,952,LCA
PORTUGAL,917,PRT
URUGUAY,825,URY
BELIZE,760,BLZ
HAITI,735,HTI
ARUBA,693,ABW
MIDDLE EAST,689,SAU
GUATEMALA,681,GTM
ST. VINCENT,595,VCT
OTHER ASIA,532,ARE
KOREA,505,KOR
GRENADA,484,GRD
SURINAM,473,SUR
NEW ZEALAND,410,NZL
HUNGARY,372,HUN
TURKEY,366,TUR
DOMINICA,364,DMA
PHILIPPINES,308,PHL
EL SALVADOR,288,SLV
HONDURAS,251,HND
LUXEMBURG,232,LUX
GREECE,224,GRC
MONSTERRAT,213,MSR
TAIWAN,206,TWN
SINGAPORE,201,SGP
OTHER MEDITERRANEAN,199,ESP
BOLIVIA,175,BOL
NICARAGUA,149,NIC
GUADELOUPE,141,GLP
OTHER CARIBBEAN,116,GLP
PARAGUAY,107,PRY
ALL OTHER COUNTRIES,76,USA
SAUDI ARABIA,61,SAU
PAKISTAN,26,PAK
CULT,11,USA
OTHER SOUTH AMERICA,1,COL
